Gaze Data: (1810.1, 754.7) timestamp 344377136 ms
Gaze Data: (1820.3, 751.6) timestamp 344377149 ms
Gaze Data: (1789.1, 761.3) timestamp 344377166 ms
Gaze Data: (1793.0, 758.4) timestamp 344377181 ms
Gaze Data: (1844.9, 744.8) timestamp 344377194 ms
Gaze Data: (1844.0, 735.7) timestamp 344377228 ms
Gaze Data: (1843.6, 734.8) timestamp 344377241 ms
Gaze Data: (1845.0, 733.2) timestamp 344377258 ms
Gaze Data: (1849.6, 729.4) timestamp 344377272 ms
Gaze Data: (1865.3, 738.4) timestamp 344377285 ms
Gaze Data: (1866.6, 744.8) timestamp 344377302 ms
Gaze Data: (1860.8, 753.3) timestamp 344377317 ms
Gaze Data: (1863.0, 753.0) timestamp 344377329 ms
Gaze Data: (1870.8, 777.0) timestamp 344377346 ms
Gaze Data: (1869.1, 845.8) timestamp 344377376 ms
Gaze Data: (1864.4, 900.5) timestamp 344377391 ms
Gaze Data: (1864.8, 929.4) timestamp 344377406 ms
Gaze Data: (1864.2, 976.4) timestamp 344377420 ms
Gaze Data: (1863.6, 976.6) timestamp 344377437 ms
Gaze Data: (1863.8, 977.8) timestamp 344377456 ms
Gaze Data: (1865.9, 976.8) timestamp 344377466 ms
Gaze Data: (1867.5, 979.2) timestamp 344377481 ms
Gaze Data: (1879.3, 981.7) timestamp 344377498 ms
Gaze Data: (1894.5, 983.6) timestamp 344377531 ms
Gaze Data: (1896.0, 985.3) timestamp 344377544 ms
Gaze Data: (1888.8, 985.7) timestamp 344377558 ms
Gaze Data: (1914.6, 987.7) timestamp 344377648 ms
Gaze Data: (1891.6, 1019.3) timestamp 344377678 ms
Gaze Data: (1885.5, 1036.6) timestamp 344377689 ms
Gaze Data: (1893.4, 1042.7) timestamp 344377706 ms
Gaze Data: (1884.9, 1046.8) timestamp 344377721 ms
Gaze Data: (1880.4, 1057.5) timestamp 344377734 ms
Gaze Data: (1849.3, 1071.7) timestamp 344377782 ms
Gaze Data: (1873.6, 1066.5) timestamp 344377797 ms
Gaze Data: (1854.0, 1068.7) timestamp 344377825 ms
Gaze Data: (1874.1, 1055.1) timestamp 344377841 ms
Gaze Data: (1895.4, 1028.7) timestamp 344377856 ms
Gaze Data: (1897.0, 1018.4) timestamp 344377869 ms
Gaze Data: (1897.2, 1014.6) timestamp 344377886 ms
Gaze Data: (1897.4, 980.3) timestamp 344377901 ms
Gaze Data: (1891.3, 982.1) timestamp 344377914 ms
Gaze Data: (1894.7, 977.6) timestamp 344377931 ms
Gaze Data: (1889.0, 980.9) timestamp 344377946 ms
Gaze Data: (1882.5, 979.2) timestamp 344377981 ms
Gaze Data: (1887.2, 974.9) timestamp 344377996 ms
Gaze Data: (1890.2, 975.0) timestamp 344378007 ms
Gaze Data: (1911.6, 967.8) timestamp 344378022 ms
Gaze Data: (1911.3, 967.5) timestamp 344378037 ms
Gaze Data: (1908.7, 968.2) timestamp 344378049 ms
Gaze Data: (1920.7, 961.9) timestamp 344378066 ms
