Gaze Data: (1797.5, 557.6) timestamp 6911442 ms
Gaze Data: (1796.1, 557.8) timestamp 6911458 ms
Gaze Data: (1795.0, 559.0) timestamp 6911473 ms
Gaze Data: (1793.5, 559.6) timestamp 6911486 ms
Gaze Data: (1792.3, 559.5) timestamp 6911525 ms
Gaze Data: (1761.3, 554.1) timestamp 6911537 ms
Gaze Data: (1698.7, 554.9) timestamp 6911564 ms
Gaze Data: (1694.6, 554.9) timestamp 6911580 ms
Gaze Data: (1670.1, 557.8) timestamp 6911613 ms
Gaze Data: (1671.7, 574.1) timestamp 6911627 ms
Gaze Data: (1668.2, 569.6) timestamp 6911667 ms
Gaze Data: (1670.6, 572.2) timestamp 6911683 ms
Gaze Data: (1670.1, 567.1) timestamp 6911699 ms
Gaze Data: (1668.1, 565.0) timestamp 6911711 ms
Gaze Data: (1664.2, 565.4) timestamp 6911731 ms
Gaze Data: (1668.3, 565.2) timestamp 6911747 ms
Gaze Data: (1669.2, 565.4) timestamp 6911757 ms
Gaze Data: (1671.6, 566.0) timestamp 6911775 ms
Gaze Data: (1952.5, 617.7) timestamp 6911790 ms
Gaze Data: (1980.9, 621.6) timestamp 6911821 ms
Gaze Data: (1993.4, 621.4) timestamp 6911850 ms
Gaze Data: (2021.5, 618.0) timestamp 6911868 ms
Gaze Data: (1996.8, 607.6) timestamp 6911891 ms
Gaze Data: (2008.2, 618.9) timestamp 6911910 ms
Gaze Data: (1989.7, 627.4) timestamp 6911926 ms
Gaze Data: (1990.2, 630.7) timestamp 6911937 ms
Gaze Data: (1985.7, 639.2) timestamp 6911971 ms
Gaze Data: (1981.1, 641.8) timestamp 6911984 ms
Gaze Data: (1969.7, 655.4) timestamp 6912001 ms
Gaze Data: (1958.4, 659.1) timestamp 6912015 ms
Gaze Data: (1951.4, 660.4) timestamp 6912027 ms
Gaze Data: (1949.1, 661.2) timestamp 6912045 ms
Gaze Data: (1942.2, 666.4) timestamp 6912060 ms
Gaze Data: (1939.2, 669.9) timestamp 6912072 ms
Gaze Data: (1936.1, 666.5) timestamp 6912091 ms
Gaze Data: (1937.3, 657.9) timestamp 6912118 ms
Gaze Data: (1935.6, 656.6) timestamp 6912135 ms
Gaze Data: (1935.5, 657.8) timestamp 6912149 ms
Gaze Data: (1937.3, 646.1) timestamp 6912161 ms
Gaze Data: (1935.1, 640.0) timestamp 6912179 ms
Gaze Data: (1932.6, 641.4) timestamp 6912194 ms
Gaze Data: (1932.1, 642.1) timestamp 6912206 ms
Gaze Data: (1932.5, 648.1) timestamp 6912223 ms
Gaze Data: (1933.6, 650.7) timestamp 6912239 ms
Gaze Data: (1932.5, 647.8) timestamp 6912275 ms
Gaze Data: (1930.7, 656.8) timestamp 6912289 ms
Gaze Data: (1930.8, 656.8) timestamp 6912300 ms
Gaze Data: (1931.3, 655.3) timestamp 6912317 ms
Gaze Data: (1930.1, 655.0) timestamp 6912331 ms
Gaze Data: (1928.9, 658.9) timestamp 6912342 ms
Gaze Data: (1927.9, 658.4) timestamp 6912361 ms
Gaze Data: (1930.5, 653.4) timestamp 6912377 ms
Gaze Data: (1931.9, 650.5) timestamp 6912389 ms
Gaze Data: (1933.9, 646.9) timestamp 6912419 ms
Gaze Data: (1935.0, 644.3) timestamp 6912431 ms
Gaze Data: (1938.5, 641.1) timestamp 6912449 ms
Gaze Data: (1936.8, 642.0) timestamp 6912464 ms
Gaze Data: (1936.3, 642.1) timestamp 6912476 ms
Gaze Data: (1936.6, 641.6) timestamp 6912494 ms
Gaze Data: (1937.1, 641.1) timestamp 6912509 ms
Gaze Data: (1933.0, 640.2) timestamp 6912521 ms
Gaze Data: (1933.8, 640.2) timestamp 6912539 ms
Gaze Data: (1928.4, 649.9) timestamp 6912571 ms
Gaze Data: (1930.3, 647.4) timestamp 6912589 ms
Gaze Data: (1930.7, 670.0) timestamp 6912603 ms
Gaze Data: (1930.0, 924.8) timestamp 6912615 ms
Gaze Data: (1929.9, 936.5) timestamp 6912629 ms
Gaze Data: (1929.6, 941.8) timestamp 6912645 ms
Gaze Data: (1929.4, 949.9) timestamp 6912656 ms
Gaze Data: (1929.7, 950.3) timestamp 6912674 ms
Gaze Data: (1930.6, 949.2) timestamp 6912688 ms
Gaze Data: (1932.4, 949.3) timestamp 6912720 ms
Gaze Data: (1947.2, 946.4) timestamp 6912736 ms
Gaze Data: (1952.9, 945.1) timestamp 6912750 ms
Gaze Data: (1942.6, 948.8) timestamp 6912768 ms
Gaze Data: (1935.9, 950.9) timestamp 6912779 ms
Gaze Data: (1927.2, 951.5) timestamp 6912791 ms
Gaze Data: (1932.3, 947.6) timestamp 6912809 ms
Gaze Data: (1933.4, 947.2) timestamp 6912823 ms
Gaze Data: (1931.6, 949.4) timestamp 6912836 ms
Gaze Data: (1935.5, 946.3) timestamp 6912875 ms
Gaze Data: (1935.7, 943.9) timestamp 6912886 ms
Gaze Data: (1935.0, 936.6) timestamp 6912902 ms
Gaze Data: (1934.5, 930.3) timestamp 6912914 ms
Gaze Data: (1933.3, 889.3) timestamp 6912929 ms
Gaze Data: (1931.5, 875.6) timestamp 6912947 ms
Gaze Data: (1929.9, 865.1) timestamp 6912962 ms
Gaze Data: (1928.5, 851.4) timestamp 6912973 ms
Gaze Data: (1927.6, 848.1) timestamp 6912988 ms
Gaze Data: (1926.8, 846.2) timestamp 6913017 ms
Gaze Data: (1927.1, 847.9) timestamp 6913033 ms
Gaze Data: (1927.2, 848.2) timestamp 6913049 ms
Gaze Data: (1922.3, 856.7) timestamp 6913061 ms
Gaze Data: (1922.8, 858.7) timestamp 6913079 ms
Gaze Data: (1923.7, 860.0) timestamp 6913093 ms
Gaze Data: (1932.3, 846.6) timestamp 6913111 ms
Gaze Data: (1930.8, 849.0) timestamp 6913128 ms
Gaze Data: (1929.8, 839.6) timestamp 6913142 ms
Gaze Data: (1922.0, 605.6) timestamp 6913170 ms
Gaze Data: (1920.7, 587.5) timestamp 6913183 ms
Gaze Data: (1919.6, 556.3) timestamp 6913196 ms
Gaze Data: (1919.2, 539.5) timestamp 6913214 ms
Gaze Data: (1917.1, 517.5) timestamp 6913229 ms
Gaze Data: (1918.4, 513.7) timestamp 6913241 ms
Gaze Data: (1917.3, 515.8) timestamp 6913264 ms
Gaze Data: (1916.4, 517.5) timestamp 6913278 ms
Gaze Data: (1917.0, 515.0) timestamp 6913289 ms
Gaze Data: (1912.6, 515.9) timestamp 6913320 ms
Gaze Data: (1913.7, 514.3) timestamp 6913331 ms
Gaze Data: (1933.0, 455.8) timestamp 6913350 ms
Gaze Data: (1940.3, 425.9) timestamp 6913367 ms
Gaze Data: (1943.5, 411.0) timestamp 6913378 ms
Gaze Data: (1944.1, 408.0) timestamp 6913396 ms
Gaze Data: (1945.7, 403.0) timestamp 6913408 ms
